exercicio,periodo,relatorio,co_ibge,instituicao,uf,conta,valor,simplificado
2024,3,RGF-Municipio,2313104,TABULEIRO DO NORTE,CE,Disponibilidade de Caixa Bruta,14251899.66,False
2024,3,RGF-Municipio,2313104,TABULEIRO DO NORTE,CE,RECEITA CORRENTE LÍQUIDA,150354711.66,False
2024,3,RGF-Municipio,2313104,TABULEIRO DO NORTE,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,148663974.66,False
2024,3,RGF-Municipio,2313104,TABULEIRO DO NORTE,CE,% da DC sobre a RCL AJUSTADA,17.95,False
2024,3,RGF-Municipio,2313104,TABULEIRO DO NORTE,CE,% da DCL sobre a RCL AJUSTADA,16.59,False
2024,3,RGF-Municipio,2313104,TABULEIRO DO NORTE,CE,Precatórios (Não incluídos na DC),59878.04,False
2024,3,RGF-Municipio,2300705,ALTO SANTO,CE,DÍVIDA CONSOLIDADA,27211375.89,False
2024,3,RGF-Municipio,2300705,ALTO SANTO,CE,Disponibilidade de Caixa,395515.74,False
2024,3,RGF-Municipio,2300705,ALTO SANTO,CE,Disponibilidade de Caixa Bruta,14849199.26,False
2024,3,RGF-Municipio,2300705,ALTO SANTO,CE,RECEITA CORRENTE LÍQUIDA,95128794.29,False
2024,3,RGF-Municipio,2300705,ALTO SANTO,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,92049927.09,False
2024,3,RGF-Municipio,2300705,ALTO SANTO,CE,% da DC sobre a RCL AJUSTADA,29.56,False
2024,3,RGF-Municipio,2300705,ALTO SANTO,CE,% da DCL sobre a RCL AJUSTADA,29.13,False
2024,3,RGF-Municipio,2303204,CARIRIACU,CE,DÍVIDA CONSOLIDADA,24554760.1,False
2024,3,RGF-Municipio,2303204,CARIRIACU,CE,Disponibilidade de Caixa,5670355.14,False
2024,3,RGF-Municipio,2303204,CARIRIACU,CE,Disponibilidade de Caixa Bruta,12908670.58,False
2024,3,RGF-Municipio,2303204,CARIRIACU,CE,RECEITA CORRENTE LÍQUIDA,123673435.08,False
2024,3,RGF-Municipio,2303204,CARIRIACU,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,120544328.08,False
2024,3,RGF-Municipio,2303204,CARIRIACU,CE,% da DC sobre a RCL AJUSTADA,20.37,False
2024,3,RGF-Municipio,2303204,CARIRIACU,CE,% da DCL sobre a RCL AJUSTADA,15.67,False
2024,3,RGF-Municipio,2303204,CARIRIACU,CE,Precatórios (Não incluídos na DC),166846.45,False
2024,3,RGF-Municipio,2304707,GRANJA,CE,DÍVIDA CONSOLIDADA,67117247.93,False
2024,3,RGF-Municipio,2304707,GRANJA,CE,Disponibilidade de Caixa,1841007.32,False
2024,3,RGF-Municipio,2304707,GRANJA,CE,Disponibilidade de Caixa Bruta,16145825.15,False
2024,3,RGF-Municipio,2304707,GRANJA,CE,RECEITA CORRENTE LÍQUIDA,282965621.73,False
2024,3,RGF-Municipio,2304707,GRANJA,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,277329829.73,False
2024,3,RGF-Municipio,2304707,GRANJA,CE,% da DC sobre a RCL AJUSTADA,24.2,False
2024,3,RGF-Municipio,2304707,GRANJA,CE,% da DCL sobre a RCL AJUSTADA,23.54,False
2024,3,RGF-Municipio,2306603,ITATIRA,CE,DÍVIDA CONSOLIDADA,38748968.41,False
2024,3,RGF-Municipio,2306603,ITATIRA,CE,Disponibilidade de Caixa,6801165.28,False
2024,3,RGF-Municipio,2306603,ITATIRA,CE,Disponibilidade de Caixa Bruta,8280325.87,False
2024,3,RGF-Municipio,2306603,ITATIRA,CE,RECEITA CORRENTE LÍQUIDA,163972339.28,False
2024,3,RGF-Municipio,2306603,ITATIRA,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,163972339.28,False
2024,3,RGF-Municipio,2306603,ITATIRA,CE,% da DC sobre a RCL AJUSTADA,23.63,False
2024,3,RGF-Municipio,2306603,ITATIRA,CE,% da DCL sobre a RCL AJUSTADA,19.48,False
2024,3,RGF-Municipio,2308708,MORADA NOVA,CE,DÍVIDA CONSOLIDADA,22696066.52,False
2024,3,RGF-Municipio,2308708,MORADA NOVA,CE,Disponibilidade de Caixa,-23557431.04,False
2024,3,RGF-Municipio,2308708,MORADA NOVA,CE,Disponibilidade de Caixa Bruta,5150318.34,False
2024,3,RGF-Municipio,2308708,MORADA NOVA,CE,RECEITA CORRENTE LÍQUIDA,286489391.47,False
2024,3,RGF-Municipio,2308708,MORADA NOVA,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,284384685.36,False
2024,3,RGF-Municipio,2308708,MORADA NOVA,CE,% da DC sobre a RCL AJUSTADA,7.98,False
2024,3,RGF-Municipio,2308708,MORADA NOVA,CE,% da DCL sobre a RCL AJUSTADA,16.26,False
2024,3,RGF-Municipio,2308708,MORADA NOVA,CE,Precatórios (Não incluídos na DC),255675.12,False
2024,3,RGF-Municipio,2313203,TAMBORIL,CE,DÍVIDA CONSOLIDADA,38639516.07,False
2024,3,RGF-Municipio,2313203,TAMBORIL,CE,Disponibilidade de Caixa,-897944.86,False
2024,3,RGF-Municipio,2313203,TAMBORIL,CE,Disponibilidade de Caixa Bruta,6658016.73,False
2024,3,RGF-Municipio,2313203,TAMBORIL,CE,RECEITA CORRENTE LÍQUIDA,139750656.08,False
2024,3,RGF-Municipio,2313203,TAMBORIL,CE,RECEITA CORRENTE LÍQUIDA AJUSTADA,134350656.08,False
