ano,ente,codigo,instituicao,conta,valor,coluna
2025,municipio,2701704,Prefeitura Municipal de Capela - AL,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO,111455074.12,Até o 2º Quadrimestre
2025,municipio,2701704,Prefeitura Municipal de Capela - AL,% da DC sobre a RCL AJUSTADA (I/VI),20.21,Até o 2º Quadrimestre
2025,municipio,2701704,Prefeitura Municipal de Capela - AL,% da DCL sobre a RCL AJUSTADA,12.39,Até o 2º Quadrimestre
2025,municipio,2701209,Prefeitura Municipal de Cacimbinhas - AL,DÍVIDA CONSOLIDADA,6683038.41,Até o 1º Semestre
2025,municipio,2701209,Prefeitura Municipal de Cacimbinhas - AL,Disponibilidade de Caixa,8292787.3,Até o 1º Semestre
2025,municipio,2701209,Prefeitura Municipal de Cacimbinhas - AL,Disponibilidade de Caixa Bruta,8891253.0,Até o 1º Semestre
2025,municipio,2701209,Prefeitura Municipal de Cacimbinhas - AL,RECEITA CORRENTE LÍQUIDA,98664385.93,Até o 1º Semestre
2025,municipio,2701209,Prefeitura Municipal de Cacimbinhas - AL,% da DC sobre a RCL AJUSTADA (I/VI),6.77,Até o 1º Semestre
2025,municipio,2701209,Prefeitura Municipal de Cacimbinhas - AL,% da DCL sobre a RCL AJUSTADA,-1.63,Até o 1º Semestre
2025,municipio,2701605,Prefeitura Municipal de Canapi - AL,DÍVIDA CONSOLIDADA,1359966.22,Até o 2º Quadrimestre
2025,municipio,2701605,Prefeitura Municipal de Canapi - AL,Disponibilidade de Caixa,12079932.21,Até o 2º Quadrimestre
2025,municipio,2701605,Prefeitura Municipal de Canapi - AL,Disponibilidade de Caixa Bruta,18927930.41,Até o 2º Quadrimestre
2025,municipio,2701605,Prefeitura Municipal de Canapi - AL,RECEITA CORRENTE LÍQUIDA,138185974.62,Até o 2º Quadrimestre
2025,municipio,2701605,Prefeitura Municipal de Canapi - AL,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO,137631974.62,Até o 2º Quadrimestre
2025,municipio,2701605,Prefeitura Municipal de Canapi - AL,% da DC sobre a RCL AJUSTADA (I/VI),0.99,Até o 2º Quadrimestre
2025,municipio,2701605,Prefeitura Municipal de Canapi - AL,% da DCL sobre a RCL AJUSTADA,-7.79,Até o 2º Quadrimestre
2025,municipio,2702009,Prefeitura Municipal de Coité do Nóia - AL,DÍVIDA CONSOLIDADA,28366309.26,Até o 2º Quadrimestre
2025,municipio,2702009,Prefeitura Municipal de Coité do Nóia - AL,Disponibilidade de Caixa,14342851.68,Até o 2º Quadrimestre
2025,municipio,2702009,Prefeitura Municipal de Coité do Nóia - AL,Disponibilidade de Caixa Bruta,16087718.5,Até o 2º Quadrimestre
2025,municipio,2702009,Prefeitura Municipal de Coité do Nóia - AL,RECEITA CORRENTE LÍQUIDA,76743396.39,Até o 2º Quadrimestre
2025,municipio,2702009,Prefeitura Municipal de Coité do Nóia - AL,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO,75743396.39,Até o 2º Quadrimestre
2025,municipio,2702009,Prefeitura Municipal de Coité do Nóia - AL,% da DC sobre a RCL AJUSTADA (I/VI),37.45,Até o 2º Quadrimestre
2025,municipio,2702009,Prefeitura Municipal de Coité do Nóia - AL,% da DCL sobre a RCL AJUSTADA,18.51,Até o 2º Quadrimestre
2025,municipio,2702306,Prefeitura Municipal de Coruripe - AL,DÍVIDA CONSOLIDADA,93218152.93,Até o 2º Quadrimestre
2025,municipio,2702306,Prefeitura Municipal de Coruripe - AL,Disponibilidade de Caixa,229961549.13,Até o 2º Quadrimestre
2025,municipio,2702306,Prefeitura Municipal de Coruripe - AL,Disponibilidade de Caixa Bruta,248821851.75,Até o 2º Quadrimestre
2025,municipio,2702306,Prefeitura Municipal de Coruripe - AL,RECEITA CORRENTE LÍQUIDA,616071582.94,Até o 2º Quadrimestre
2025,municipio,2702306,Prefeitura Municipal de Coruripe - AL,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO,612120859.8,Até o 2º Quadrimestre
2025,municipio,2702306,Prefeitura Municipal de Coruripe - AL,% da DC sobre a RCL AJUSTADA (I/VI),15.23,Até o 2º Quadrimestre
2025,municipio,2702306,Prefeitura Municipal de Coruripe - AL,% da DCL sobre a RCL AJUSTADA,-22.34,Até o 2º Quadrimestre
2025,municipio,2702306,Prefeitura Municipal de Coruripe - AL,Precatórios (Não incluídos na DC),124535.52,Até o 2º Quadrimestre
2025,municipio,2702108,Prefeitura Municipal de Colônia Leopoldina - AL,DÍVIDA CONSOLIDADA,8922032.86,Até o 2º Quadrimestre
2025,municipio,2702108,Prefeitura Municipal de Colônia Leopoldina - AL,Disponibilidade de Caixa,-4966026.99,Até o 2º Quadrimestre
2025,municipio,2702108,Prefeitura Municipal de Colônia Leopoldina - AL,Disponibilidade de Caixa Bruta,9149523.32,Até o 2º Quadrimestre
2025,municipio,2702108,Prefeitura Municipal de Colônia Leopoldina - AL,RECEITA CORRENTE LÍQUIDA,124096083.1,Até o 2º Quadrimestre
2025,municipio,2702108,Prefeitura Municipal de Colônia Leopoldina - AL,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO,123096083.1,Até o 2º Quadrimestre
2025,municipio,2702108,Prefeitura Municipal de Colônia Leopoldina - AL,% da DC sobre a RCL AJUSTADA (I/VI),7.25,Até o 2º Quadrimestre
2025,municipio,2702108,Prefeitura Municipal de Colônia Leopoldina - AL,% da DCL sobre a RCL AJUSTADA,11.28,Até o 2º Quadrimestre
2025,municipio,2701902,Prefeitura Municipal de Chã Preta - AL,DÍVIDA CONSOLIDADA,3557939.74,Até o 1º Semestre
2025,municipio,2701902,Prefeitura Municipal de Chã Preta - AL,Disponibilidade de Caixa,18427923.14,Até o 1º Semestre
2025,municipio,2701902,Prefeitura Municipal de Chã Preta - AL,Disponibilidade de Caixa Bruta,21657915.08,Até o 1º Semestre
2025,municipio,2701902,Prefeitura Municipal de Chã Preta - AL,RECEITA CORRENTE LÍQUIDA,52061113.52,Até o 1º Semestre
2025,municipio,2701902,Prefeitura Municipal de Chã Preta - AL,% da DC sobre a RCL AJUSTADA (I/VI),7.14,Até o 1º Semestre
2025,municipio,2701902,Prefeitura Municipal de Chã Preta - AL,% da DCL sobre a RCL AJUSTADA,-29.83,Até o 1º Semestre
2025,municipio,2702405,Prefeitura Municipal de Delmiro Gouveia - AL,DÍVIDA CONSOLIDADA,74826769.09,Até o 2º Quadrimestre
2025,municipio,2702405,Prefeitura Municipal de Delmiro Gouveia - AL,Precatórios (inclusive) Vencidos e Não Pagos,16300399.85,Até o 2º Quadrimestre
2025,municipio,2702405,Prefeitura Municipal de Delmiro Gouveia - AL,Disponibilidade de Caixa,88458862.81,Até o 2º Quadrimestre
2025,municipio,2702405,Prefeitura Municipal de Delmiro Gouveia - AL,Disponibilidade de Caixa Bruta,94243959.67,Até o 2º Quadrimestre
2025,municipio,2702405,Prefeitura Municipal de Delmiro Gouveia - AL,RECEITA CORRENTE LÍQUIDA,310465526.15,Até o 2º Quadrimestre
2025,municipio,2702405,Prefeitura Municipal de Delmiro Gouveia - AL,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO,306265526.15,Até o 2º Quadrimestre
2025,municipio,2702405,Prefeitura Municipal de Delmiro Gouveia - AL,% da DC sobre a RCL AJUSTADA (I/VI),24.43,Até o 2º Quadrimestre
2025,municipio,2702405,Prefeitura Municipal de Delmiro Gouveia - AL,% da DCL sobre a RCL AJUSTADA,-4.93,Até o 2º Quadrimestre
2025,municipio,2702355,Prefeitura Municipal de Craíbas - AL,DÍVIDA CONSOLIDADA,41318321.8,Até o 1º Semestre
2025,municipio,2702355,Prefeitura Municipal de Craíbas - AL,Disponibilidade de Caixa,39572073.51,Até o 1º Semestre
2025,municipio,2702355,Prefeitura Municipal de Craíbas - AL,Disponibilidade de Caixa Bruta,41734613.57,Até o 1º Semestre
2025,municipio,2702355,Prefeitura Municipal de Craíbas - AL,RECEITA CORRENTE LÍQUIDA,192503916.92,Até o 1º Semestre
2025,municipio,2702355,Prefeitura Municipal de Craíbas - AL,% da DC sobre a RCL AJUSTADA (I/VI),21.5,Até o 1º Semestre
2025,municipio,2702355,Prefeitura Municipal de Craíbas - AL,% da DCL sobre a RCL AJUSTADA,0.91,Até o 1º Semestre
2024,municipio,2702207,Prefeitura Municipal de Coqueiro Seco - AL,DÍVIDA CONSOLIDADA,4417784.12,Até o 3º Quadrimestre
2024,municipio,2702207,Prefeitura Municipal de Coqueiro Seco - AL,Disponibilidade de Caixa,6053477.18,Até o 3º Quadrimestre
2024,municipio,2702207,Prefeitura Municipal de Coqueiro Seco - AL,Disponibilidade de Caixa Bruta,9905783.71,Até o 3º Quadrimestre
2024,municipio,2702207,Prefeitura Municipal de Coqueiro Seco - AL,RECEITA CORRENTE LÍQUIDA,86085326.72,Até o 3º Quadrimestre
2024,municipio,2702207,Prefeitura Municipal de Coqueiro Seco - AL,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO,86085326.72,Até o 3º Quadrimestre
2024,municipio,2702207,Prefeitura Municipal de Coqueiro Seco - AL,% da DC sobre a RCL AJUSTADA (I/VI),5.13,Até o 3º Quadrimestre
2024,municipio,2702207,Prefeitura Municipal de Coqueiro Seco - AL,% da DCL sobre a RCL AJUSTADA,-1.9,Até o 3º Quadrimestre
2025,municipio,2702504,Prefeitura Municipal de Dois Riachos - AL,DÍVIDA CONSOLIDADA,4747453.3,Até o 2º Quadrimestre
2025,municipio,2702504,Prefeitura Municipal de Dois Riachos - AL,Disponibilidade de Caixa,4824119.15,Até o 2º Quadrimestre
2025,municipio,2702504,Prefeitura Municipal de Dois Riachos - AL,Disponibilidade de Caixa Bruta,9255364.48,Até o 2º Quadrimestre
2025,municipio,2702504,Prefeitura Municipal de Dois Riachos - AL,RECEITA CORRENTE LÍQUIDA,85939233.3,Até o 2º Quadrimestre
2025,municipio,2702504,Prefeitura Municipal de Dois Riachos - AL,RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO,85639233.3,Até o 2º Quadrimestre
2025,municipio,2702504,Prefeitura Municipal de Dois Riachos - AL,% da DC sobre a RCL AJUSTADA (I/VI),5.54,Até o 2º Quadrimestre
2025,municipio,2702504,Prefeitura Municipal de Dois Riachos - AL,% da DCL sobre a RCL AJUSTADA,-0.09,Até o 2º Quadrimestre
2025,municipio,2702553,Prefeitura Municipal de Estrela de Alagoas - AL,DÍVIDA CONSOLIDADA,11524616.15,Até o 2º Quadrimestre
2025,municipio,2702553,Prefeitura Municipal de Estrela de Alagoas - AL,Precatórios (inclusive) Vencidos e Não Pagos,125660.49,Até o 2º Quadrimestre
2025,municipio,2702553,Prefeitura Municipal de Estrela de Alagoas - AL,Disponibilidade de Caixa,13685267.7,Até o 2º Quadrimestre
2025,municipio,2702553,Prefeitura Municipal de Estrela de Alagoas - AL,Disponibilidade de Caixa Bruta,14588657.56,Até o 2º Quadrimestre
