exercicio,periodo,relatorio,co_ibge,instituicao,uf,conta,valor,simplificado
2019,3,RGF-UF,23,GOVERNO DO ESTADO DO CEARA,CE,Precatórios (Não incluídos na DC),82276892.78,False
2024,3,RGF-UF,29,GOVERNO DO ESTADO DA BAHIA,BA,DÍVIDA CONSOLIDADA,35265978257.27,False
2024,3,RGF-UF,29,GOVERNO DO ESTADO DA BAHIA,BA,Parcelamento e Renegociação de Dívidas,314410035.16,False
2024,3,RGF-UF,29,GOVERNO DO ESTADO DA BAHIA,BA,Precatórios (inclusive) Vencidos e Não Pagos,8683690090.24,False
2024,3,RGF-UF,29,GOVERNO DO ESTADO DA BAHIA,BA,Disponibilidade de Caixa,9319863987.65,False
2024,3,RGF-UF,29,GOVERNO DO ESTADO DA BAHIA,BA,Disponibilidade de Caixa Bruta,12311951391.96,False
2024,3,RGF-UF,29,GOVERNO DO ESTADO DA BAHIA,BA,DÍVIDA CONSOLIDADA LÍQUIDA,24083252428.23,False
2024,3,RGF-UF,29,GOVERNO DO ESTADO DA BAHIA,BA,RECEITA CORRENTE LÍQUIDA,65047362383.36,False
2024,3,RGF-UF,29,GOVERNO DO ESTADO DA BAHIA,BA,RECEITA CORRENTE LÍQUIDA AJUSTADA,64905755683.76,False
2024,3,RGF-UF,29,GOVERNO DO ESTADO DA BAHIA,BA,% da DC sobre a RCL AJUSTADA,54.33,False
2024,3,RGF-UF,29,GOVERNO DO ESTADO DA BAHIA,BA,% da DCL sobre a RCL AJUSTADA,37.1,False
2024,3,RGF-UF,29,GOVERNO DO ESTADO DA BAHIA,BA,Precatórios (Não incluídos na DC),2046123257.41,False
2024,3,RGF-UF,22,GOVERNO DO ESTADO DO PIAUI,PI,DÍVIDA CONSOLIDADA,13178868744.35,False
2024,3,RGF-UF,22,GOVERNO DO ESTADO DO PIAUI,PI,Empréstimos,10433562472.36,False
2024,3,RGF-UF,22,GOVERNO DO ESTADO DO PIAUI,PI,Parcelamento e Renegociação de Dívidas,147643396.94,False
2024,3,RGF-UF,22,GOVERNO DO ESTADO DO PIAUI,PI,Demais Dívidas Contratuais,87173706.45,False
2024,3,RGF-UF,22,GOVERNO DO ESTADO DO PIAUI,PI,Precatórios (inclusive) Vencidos e Não Pagos,2510489168.6,False
2024,3,RGF-UF,22,GOVERNO DO ESTADO DO PIAUI,PI,Disponibilidade de Caixa,2375498613.58,False
2024,3,RGF-UF,22,GOVERNO DO ESTADO DO PIAUI,PI,Disponibilidade de Caixa Bruta,3255816458.83,False
2024,3,RGF-UF,22,GOVERNO DO ESTADO DO PIAUI,PI,DÍVIDA CONSOLIDADA LÍQUIDA,10752874948.48,False
2024,3,RGF-UF,22,GOVERNO DO ESTADO DO PIAUI,PI,RECEITA CORRENTE LÍQUIDA,17181161335.79,False
