exercicio,instituicao,uf,conta,valor
2019,Prefeitura Municipal de Chã Grande - PE,PE,DÍVIDA CONSOLIDADA,13612382.17
2019,Prefeitura Municipal de Chã Grande - PE,PE,Disponibilidade de Caixa,1741978.1
2019,Prefeitura Municipal de Chã Grande - PE,PE,Disponibilidade de Caixa Bruta,4262389.19
2019,Prefeitura Municipal de Chã Grande - PE,PE,RECEITA CORRENTE LÍQUIDA,50896858.94
2019,Prefeitura Municipal de Cedro - PE,PE,Disponibilidade de Caixa,1483004.15
2019,Prefeitura Municipal de Cedro - PE,PE,Disponibilidade de Caixa Bruta,1483004.15
2019,Prefeitura Municipal de Cedro - PE,PE,RECEITA CORRENTE LÍQUIDA,27157690.21
2019,Prefeitura Municipal de Chã de Alegria - PE,PE,Disponibilidade de Caixa,1394026.55
2019,Prefeitura Municipal de Chã de Alegria - PE,PE,Disponibilidade de Caixa Bruta,4383156.9
2019,Prefeitura Municipal de Chã de Alegria - PE,PE,RECEITA CORRENTE LÍQUIDA,31856503.1
2019,Prefeitura Municipal de Condado - PE,PE,DÍVIDA CONSOLIDADA,33847626.87
2019,Prefeitura Municipal de Condado - PE,PE,Precatórios (inclusive) Vencidos e Não Pagos,110427.99
2019,Prefeitura Municipal de Condado - PE,PE,Disponibilidade de Caixa,9309380.79
2019,Prefeitura Municipal de Condado - PE,PE,Disponibilidade de Caixa Bruta,9989095.78
2019,Prefeitura Municipal de Condado - PE,PE,RECEITA CORRENTE LÍQUIDA,48014854.66
2019,Prefeitura Municipal de Condado - PE,PE,Precatórios (Não incluídos na DC),257273.27
2019,Prefeitura Municipal de Cortês - PE,PE,DÍVIDA CONSOLIDADA,11863672.64
2019,Prefeitura Municipal de Cortês - PE,PE,Precatórios (inclusive) Vencidos e Não Pagos,339885.79
2019,Prefeitura Municipal de Cortês - PE,PE,Disponibilidade de Caixa,6004386.59
2019,Prefeitura Municipal de Cortês - PE,PE,Disponibilidade de Caixa Bruta,8602049.0
2019,Prefeitura Municipal de Cortês - PE,PE,RECEITA CORRENTE LÍQUIDA,47269537.85
2019,Prefeitura Municipal de Cumaru - PE,PE,DÍVIDA CONSOLIDADA,18747619.37
2019,Prefeitura Municipal de Cumaru - PE,PE,Disponibilidade de Caixa Bruta,4831666.91
2019,Prefeitura Municipal de Cumaru - PE,PE,RECEITA CORRENTE LÍQUIDA,31150933.55
2019,Prefeitura Municipal de Cumaru - PE,PE,Precatórios (Não incluídos na DC),508548337.75
2019,Prefeitura Municipal de Cupira - PE,PE,DÍVIDA CONSOLIDADA,52176631.1
2019,Prefeitura Municipal de Cupira - PE,PE,Disponibilidade de Caixa,613592.55
2019,Prefeitura Municipal de Cupira - PE,PE,Disponibilidade de Caixa Bruta,4275189.72
2019,Prefeitura Municipal de Cupira - PE,PE,RECEITA CORRENTE LÍQUIDA,49809255.89
2019,Prefeitura Municipal de Cupira - PE,PE,Precatórios (Não incluídos na DC),189509.54
2019,Prefeitura Municipal de Custódia - PE,PE,DÍVIDA CONSOLIDADA,10793292.41
2019,Prefeitura Municipal de Custódia - PE,PE,Disponibilidade de Caixa Bruta,16805969.38
2019,Prefeitura Municipal de Custódia - PE,PE,RECEITA CORRENTE LÍQUIDA,97801026.01
2019,Prefeitura Municipal de Dormentes - PE,PE,DÍVIDA CONSOLIDADA,14249276.88
2019,Prefeitura Municipal de Dormentes - PE,PE,Disponibilidade de Caixa,1322806.85
2019,Prefeitura Municipal de Dormentes - PE,PE,Disponibilidade de Caixa Bruta,4615239.6
2019,Prefeitura Municipal de Dormentes - PE,PE,RECEITA CORRENTE LÍQUIDA,45670072.83
2019,Prefeitura Municipal de Escada - PE,PE,DÍVIDA CONSOLIDADA,34622786.2
2019,Prefeitura Municipal de Escada - PE,PE,Precatórios (inclusive) Vencidos e Não Pagos,13862.95
2019,Prefeitura Municipal de Escada - PE,PE,Disponibilidade de Caixa Bruta,5813948.84
